"stations","ptero_annual","ptero_annual_lwr","ptero_annual_upr","hetero_annual","hetero_annual_lwr","hetero_annual_upr","foram_annual","foram_annual_lwr","foram_annual_upr","coco_annual","coco_annual_lwr","coco_annual_upr","calcite_annual","calcite_annual_lwr","calcite_annual_upr","aragonite_annual","aragonite_annual_lwr","aragonite_annual_upr","tot_annual","tot_annual_lwr","tot_annual_upr"
1,3837.88967048268,2220.15956200834,8127.41580607254,110.460800439659,63.3130134833892,232.40943886192,671.898880878098,447.373557882662,1282.46657573414,50628.204580983,26604.4194432814,296671.254748847,51355.1264862421,27318.6944751981,297306.63107059,3954.63330951225,2343.00042797207,8262.35061614964,55747.6642668327,31232.9581397079,302152.788474786
2,2188.27722117894,1285.06118385762,4674.94940460528,293.727668750332,169.654007338783,621.597294196377,159.23575284911,105.918792210149,301.706188188577,32053.3172895947,16820.1154645594,186827.792083467,32206.5865675987,17004.6833624651,186973.507302122,2519.822066917,1577.67497982539,5028.19729335106,35016.8599368913,19537.489720159,189199.825716552
3,2749.10168860591,1572.0372091733,5795.33066689758,144.772348844744,82.7165821498165,306.196114158594,25.2493228877757,16.8261704559063,47.8409870304069,146865.14414802,77388.4240829867,852865.571544312,146896.174546377,77409.422435098,852884.986059708,2911.24529354764,1723.62581927071,5975.76109139531,150014.799193674,80304.0367412781,855516.310233551
4,7482.80339249322,4282.12215301332,16022.6260136255,862.728086178145,497.458937516858,1794.11110973438,7403.31321199765,4932.0930513199,14109.9701277153,70419.873746238,36724.4272583869,407158.941273195,78461.8249073937,44104.859422134,414313.219348994,8472.54486997324,5134.79646179815,16932.3369687904,87799.1511598524,52215.5772799749,424187.143409749
5,45282.1660740141,26143.7561239854,95207.964590598,0,0,0,3339.12775769067,2221.76864358166,6313.09563603823,204953.62131851,107215.237261647,1196171.39382062,208428.235435663,110959.470247104,1199109.45804118,45282.1660740141,26143.7561239854,95207.964590598,261519.434393611,151625.909006398,1249057.75900189
