"V1","V2","V3","V4","V5"
1.57588235294118e-05,1.51941176470588e-05,1.75470588235294e-05,4.09e-05,3.21366714285714e-05
1.53294117647059e-05,1.70941176470588e-05,4.41882352941176e-05,4.004e-05,2.215454375e-05
2.05e-05,1.63529411764706e-05,3.759375e-05,1.76875e-05,4.059850625e-05
2.733125e-05,1.65647058823529e-05,2.27117647058824e-05,1.625e-05,2.64307647058824e-05
3.88235294117647e-05,3.01764705882353e-05,3.12866666666667e-05,9.67533333333333e-05,0.000239939057142857
4.12470588235294e-05,4.26764705882353e-05,6.74588235294118e-05,0.00012285,0.00029303450625
3.855e-05,5.25277777777778e-05,4.66444444444444e-05,0.000161185714285714,0.000457052214285714
4.67166666666667e-05,5.66611111111111e-05,5.30888888888889e-05,0.000171738888888889,0.000674206428571429
4.815e-05,4.82833333333333e-05,4.24888888888889e-05,0.000223841833333333,0.000267439133333333
4.05166666666667e-05,3.30666666666667e-05,2.51388888888889e-05,0.000124438888888889,0.000167042272222222
2.39555555555556e-05,2.47166666666667e-05,2.74823529411765e-05,0.000121761111111111,8.79963363636364e-05
1.72333333333333e-05,1.66944444444444e-05,2.19357142857143e-05,6.09833333333333e-05,6.00665038961039e-05
