"station","ptero","hetero","foram","coco","ptero_sigma","hetero_sigma","foram_sigma","coco_sigma"
1,110.9998817,3.161236183,36.67452602,750.422884576582,15.65098332,0.445734302,1.466981041,67.5380596118924
2,63.68427281,8.424871785,8.702144506,478.838035486398,8.979482463,1.187906921,0.34808578,43.0954231937758
3,78.88542583,4.173818552,1.379295473,2173.279865603,11.12284504,0.588508416,0.055171819,195.59518790427
4,215.2857888,24.75983066,404.4423455,1047.0456117636,30.35529623,3.491136124,16.17769382,94.234105058724
5,1306.438852,0,182.2211038,3045.5840462474,184.2078782,0,7.288844153,274.102564162266
