"V1","V2","V3","V4","V5"
0.0987828647058824,0.110373511764706,0.183324533333333,0.380919785714286,0.336821833333333
0.0875364823529412,0.1050123,0.182631176470588,0.355260714285714,0.3473579375
0.0787538125,0.0855938,0.212330875,0.337564866666667,0.307365866666667
0.0688566705882353,0.0717129588235294,0.1268488875,0.314193692307692,0.2922566
0.06003044375,0.0616737875,0.0901275285714286,0.2781734,0.330982818181818
0.0560617533333333,0.0562025266666667,0.086984,0.211011545454545,0.269836325
0.0665185470588235,0.0572987823529412,0.0767294,0.133981230769231,0.381478166666667
0.0634590294117647,0.0635536058823529,0.07231613125,0.1045482875,0.541101846153846
0.0670863647058823,0.0564067235294118,0.0727472294117647,0.102519535294118,0.50729125
0.0748342529411765,0.0637421647058824,0.0810332117647059,0.1940688875,0.389378066666667
0.0873343235294118,0.0808229823529412,0.11593226,0.264745,0.387436
0.0996015823529412,0.106091317647059,0.1466594,0.365892923076923,0.362128916666667
